internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
17026,Phocarctos hookeri,"Arctocephalus hookeri Gray, 1844",Arctocephalus,hookeri,"Gray, 1844",,
40540,Sarcophilus harrisii,"Ursinus harrisii Boitard, 1841",Ursinus,harrisii,"Boitard, 1841",,
9917,Nilgiritragus hylocrius,"Hemitragus hylocrius (Ogilby, 1838)",Hemitragus,hylocrius,"(Ogilby, 1838)",,
914,Alouatta pigra,"Alouatta pigra ssp. luctuosa Lawrence, 1933",Alouatta,pigra,,subspecies,"Lawrence, 1933"
39961,Ateles hybridus,"Ateles belzebuth ssp. brunneus Gray, 1872",Ateles,belzebuth,,subspecies,"Gray, 1872"
39827,Pygathrix cinerea,"Pygathrix nemaeus Nadler, 1997 ssp. cinerea",Pygathrix,nemaeus,"Nadler, 1997",subspecies,
39833,Semnopithecus ajax,"Semnopithecus entellus ssp. ajax (Pocock, 1928)",Semnopithecus,entellus,,subspecies,"(Pocock, 1928)"
39833,Semnopithecus ajax,"Pithecuas entellus ssp. ajax Pocock, 1928",Pithecuas,entellus,,subspecies,"Pocock, 1928"
19597,Rhinopithecus bieti,"Pygathrix roxellana ssp. bieti (Milne-Edwards, 1897)",Pygathrix,roxellana,,subspecies,"(Milne-Edwards, 1897)"
5144,Colobus polykomos,"Cebus polykomos E.A.W. Zimmermann, 1780",Cebus,polykomos,"E.A.W. Zimmermann, 1780",,
39795,Macaca siberu,"Macaca pagensis ssp. siberu Fuentes & Olson, 1995",Macaca,pagensis,,subspecies,"Fuentes & Olson, 1995"
39794,Macaca pagensis,"Macaca mentaveensis de Beaux, 1923",Macaca,mentaveensis,"de Beaux, 1923",,
12556,Macaca nigra,"Macaca malayanus (Desmoulins, 1824)",Macaca,malayanus,"(Desmoulins, 1824)",,
12556,Macaca nigra,"Macaca lembicus (Miller, 1931)",Macaca,lembicus,"(Miller, 1931)",,
12560,Macaca sinica,"Macaca audeberti (Reichenbach, 1862)",Macaca,audeberti,"(Reichenbach, 1862)",,
12560,Macaca sinica,"Macaca inaurea Pocock, 1931",Macaca,inaurea,"Pocock, 1931",,
12560,Macaca sinica,"Macaca pileatus (Ogilby, 1838)",Macaca,pileatus,"(Ogilby, 1838)",,
12560,Macaca sinica,"Macaca longicaudata Deraniyagala, 1965",Macaca,longicaudata,"Deraniyagala, 1965",,
12559,Macaca silenus,"Macaca vetulus (Erxleben, 1777)",Macaca,vetulus,"(Erxleben, 1777)",,
12559,Macaca silenus,"Macaca albibarbatus (Kerr, 1792)",Macaca,albibarbatus,"(Kerr, 1792)",,
12559,Macaca silenus,"Macaca veter (Audebert, 1798)",Macaca,veter,"(Audebert, 1798)",,
12559,Macaca silenus,"Macaca ferox (Shaw, 1792)",Macaca,ferox,"(Shaw, 1792)",,
12753,Mandrillus leucophaeus,"Simia leucophaea F. Cuvier, 1807",Simia,leucophaea,"F. Cuvier, 1807",,
39811,Presbytis melalophos,"Presbytis aurata (Muller & Schlegel, 1861)",Presbytis,aurata,"(Muller & Schlegel, 1861)",,
39811,Presbytis melalophos,"Presbytis batuanus Miller, 1903",Presbytis,batuanus,"Miller, 1903",,
39811,Presbytis melalophos,"Presbytis ferrugineus (Schlegel, 1876)",Presbytis,ferrugineus,"(Schlegel, 1876)",,
39811,Presbytis melalophos,"Presbytis flavimanus (I. Geoffroy, 1831)",Presbytis,flavimanus,"(I. Geoffroy, 1831)",,
39811,Presbytis melalophos,"Presbytis fluviatilis (Chasen, 1940)",Presbytis,fluviatilis,"(Chasen, 1940)",,
39811,Presbytis melalophos,"Presbytis fusco-murina Elliot, 1906",Presbytis,fusco-murina,"Elliot, 1906",,
39811,Presbytis melalophos,"Presbytis margae Hooijer, 1948",Presbytis,margae,"Hooijer, 1948",,
39811,Presbytis melalophos,"Presbytis nobilis (Gray, 1842)",Presbytis,nobilis,"(Gray, 1842)",,
39811,Presbytis melalophos,"Presbytis melalophos ssp. melalophos (Raffles, 1821)",Presbytis,melalophos,,subspecies,"(Raffles, 1821)"
39815,Presbytis potenziani,"Presbytis potenziani ssp. potenziani (Bonaparte, 1856)",Presbytis,potenziani,,subspecies,"(Bonaparte, 1856)"
39815,Presbytis potenziani,"Presbytis chrysogaster (Peters, 1867)",Presbytis,chrysogaster,"(Peters, 1867)",,
39803,Presbytis chrysomelas,"Presbytis arwasca Miller, 1934",Presbytis,arwasca,"Miller, 1934",,
39803,Presbytis chrysomelas,"Presbytis femoralis ssp. chrysomelas (Müller, 1838)",Presbytis,femoralis,,subspecies,"(Müller, 1838)"
39803,Presbytis chrysomelas,"Presbytis keatii Robinson & Kloss, 1991",Presbytis,keatii,"Robinson & Kloss, 1991",,
39803,Presbytis chrysomelas,"Presbytis neglectus (Schlegel, 1876)",Presbytis,neglectus,"(Schlegel, 1876)",,
39803,Presbytis chrysomelas,"Presbytis australis Miller, 1913",Presbytis,australis,"Miller, 1913",,
4203,Cercocebus sanjei,"Cercocebus galeritus ssp. sanjei Mittermeier, 1986",Cercocebus,galeritus,,subspecies,"Mittermeier, 1986"
4207,Cercocebus chrysogaster,"Cercocebus galeritus ssp. chrysogaster Lydekker, 1900",Cercocebus,galeritus,,subspecies,"Lydekker, 1900"
