internalTaxonId,scientificName,name,language,main
17026,Phocarctos hookeri,Hooker's Sealion,English,false
17026,Phocarctos hookeri,Hooker's Sea Lion,English,false
17026,Phocarctos hookeri,New Zealand Sealion,English,false
17026,Phocarctos hookeri,New Zealand Sea Lion,English,true
3339,Burramys parvus,Broom's Pygmy-possum,English,false
3339,Burramys parvus,Burramys,English,false
3339,Burramys parvus,Berg-Zwerggleitbeutler,German,false
3339,Burramys parvus,Lirón Marsupial,Spanish; Castilian,false
3339,Burramys parvus,Souris-opossum De Burramys,French,false
3339,Burramys parvus,Souris-opossum Des Montagnes,French,false
3339,Burramys parvus,Mountain Pygmy Possum,English,true
3748,Canis simensis,Simien Fox,English,false
3748,Canis simensis,Simien Jackal,English,false
3748,Canis simensis,Abessinischer Fuchs,German,false
3748,Canis simensis,Aethiopienfuchs,German,false
3748,Canis simensis,Äthiopischer Wolf,German,false
3748,Canis simensis,Lobo Etiope,Spanish; Castilian,false
3748,Canis simensis,Loup d'Abyssinie,French,false
3748,Canis simensis,Volpe Rossa,Italian,false
3748,Canis simensis,Ethiopian Wolf,English,true
40540,Sarcophilus harrisii,Diable de Tasmanie,French,false
40540,Sarcophilus harrisii,Tasmanian Devil,English,true
9917,Nilgiritragus hylocrius,Varai-aadu,Malayalam,false
9917,Nilgiritragus hylocrius,Varai-aadu,Tamil,false
9917,Nilgiritragus hylocrius,Nilgiri Tahr,English,true
16971461,Microcebus gerpi,Gerp's Mouse Lemur,English,true
914,Alouatta pigra,Black Howling Monkey,English,false
914,Alouatta pigra,Guatemalan Black Howler Monkey,English,false
914,Alouatta pigra,Guatemalan Howler,English,false
914,Alouatta pigra,Guatemalan Howling Monkey,English,false
914,Alouatta pigra,Lawrence’s Howler Monkey,English,false
914,Alouatta pigra,Mexican Black Howler Monkey,English,false
914,Alouatta pigra,Araguato De Guatemala,Spanish; Castilian,false
914,Alouatta pigra,Guatemala-Brüllaffe,German,false
914,Alouatta pigra,Hurleur Du Guatemala,French,false
914,Alouatta pigra,Mono Aullador Negro,Spanish; Castilian,false
914,Alouatta pigra,Saraguato,Spanish; Castilian,false
914,Alouatta pigra,Saraguato Negro,Spanish; Castilian,false
914,Alouatta pigra,Yucatán Black Howler Monkey,English,true
39961,Ateles hybridus,Brown Spider Monkey,English,false
39961,Ateles hybridus,Mono Araña Café,Spanish; Castilian,false
39961,Ateles hybridus,Variegated Spider Monkey,English,true
11505,Leontopithecus chrysopygus,Golden-rumped Lion Tamarin,English,false
11505,Leontopithecus chrysopygus,Goldsteißlöwenaffe,German,false
11505,Leontopithecus chrysopygus,Mico-leão-preto,Portuguese,false
11505,Leontopithecus chrysopygus,Schwarzer Löwenäffchen,German,false
11505,Leontopithecus chrysopygus,Tití León Negro,Spanish; Castilian,false
11505,Leontopithecus chrysopygus,Black Lion Tamarin,English,true
19839,Saimiri vanzolinii,Black-headed Squirrel Monkey,English,false
19839,Saimiri vanzolinii,Macaco-de-cheiro,Portuguese,false
19839,Saimiri vanzolinii,Black Squirrel Monkey,English,true
19836,Saimiri oerstedii,Central American Squirrel Monkey,English,false
19836,Saimiri oerstedii,Red-backed Squirrel Monkey,English,false
19836,Saimiri oerstedii,Barizo Dorsirrojo,Spanish; Castilian,false
19836,Saimiri oerstedii,Mono Ardilla,Spanish; Castilian,false
19836,Saimiri oerstedii,Mono Titi,Spanish; Castilian,false
19836,Saimiri oerstedii,Mono Tití,Spanish; Castilian,false
19836,Saimiri oerstedii,Saïmiri À Dos Roux,French,false
19836,Saimiri oerstedii,Singe-écureuil À Dos Rouge,French,false
19836,Saimiri oerstedii,Singe-écureuil À Dos Roux,French,false
19836,Saimiri oerstedii,Titi,Spanish; Castilian,false
19836,Saimiri oerstedii,Black-crowned Central American Squirrel Monkey,English,true
39826,Pygathrix nemaeus,Red-shanked Douc,English,false
39826,Pygathrix nemaeus,Chà vá chân nâu,Vietnamese,false
39826,Pygathrix nemaeus,Douc à jambes rouges,French,false
39826,Pygathrix nemaeus,Khadeng,Lao,false
39826,Pygathrix nemaeus,Voọc chà vá chân đỏ,Vietnamese,false
39826,Pygathrix nemaeus,Red-shanked Douc Langur,English,true
39827,Pygathrix cinerea,Gray-shanked Douc Monkey,English,false
39827,Pygathrix cinerea,Voọc chà vá chân xám,Vietnamese,false
39827,Pygathrix cinerea,Grey-shanked Douc Langur,English,true
39833,Semnopithecus ajax,Chamba Sacred Langur,English,false
39833,Semnopithecus ajax,Dark-eyed Himalayan Langur,English,false
39833,Semnopithecus ajax,Himalayan Gray Langur,English,false
39833,Semnopithecus ajax,Western Himalayan Langur,English,false
39833,Semnopithecus ajax,Kashmir Gray Langur,English,true
13508501,Rhinopithecus strykeri,Burmese Snub-nosed Monkey,English,false
13508501,Rhinopithecus strykeri,Myanmar Snub-nosed Monkey,English,true
19597,Rhinopithecus bieti,Black-and-white Snub-nosed Monkey,English,false
19597,Rhinopithecus bieti,Yunnan Snub-nosed Monkey,English,false
19597,Rhinopithecus bieti,Black Snub-nosed Monkey,English,true
19594,Rhinopithecus avunculus,Vooc Mui Hech,Vietnamese,false
19594,Rhinopithecus avunculus,Tonkin Snub-nosed Monkey,English,true
5144,Colobus polykomos,Ursine Black-and-White Colobus,English,false
5144,Colobus polykomos,Western Black-and-White Colobus,English,false
5144,Colobus polykomos,Western Pied Colobus,English,false
5144,Colobus polykomos,Colobe à camail,French,false
5144,Colobus polykomos,Colobe à longs poils,French,false
5144,Colobus polykomos,Colobe blanc et noir,French,false
5144,Colobus polykomos,Colobe blanc et noir d'Afrique occidentale,French,false
5144,Colobus polykomos,Colobe Magistrat,French,false
5144,Colobus polykomos,Colobo Blanco y Negro de Africa Occidental,Spanish; Castilian,false
5144,Colobus polykomos,Colobo Rey,Spanish; Castilian,false
5144,Colobus polykomos,King Colobus,English,true
4229,Cercopithecus sclateri,Sclater's Guenon,English,false
4229,Cercopithecus sclateri,White-throated Guenon,English,false
4229,Cercopithecus sclateri,Cercopiteco de Sclater,Spanish; Castilian,false
4229,Cercopithecus sclateri,Cercopithèque de Sclater,French,false
4229,Cercopithecus sclateri,Mono de Sclater,Spanish; Castilian,false
4229,Cercopithecus sclateri,Nigeria Blaumaulmeerkatze,German,false
4229,Cercopithecus sclateri,Sclater's Monkey,English,true
4217,Cercopithecus erythrogaster,Red-bellied Guenon,English,false
4217,Cercopithecus erythrogaster,White-throated Guenon,English,false
4217,Cercopithecus erythrogaster,White-throated Monkey,English,false
4217,Cercopithecus erythrogaster,アカハラグエノン,Japanese,false
4217,Cercopithecus erythrogaster,Cercopiteco de Vientre Rojo,Spanish; Castilian,false
4217,Cercopithecus erythrogaster,Cercopithèque à ventre rouge,French,false
4217,Cercopithecus erythrogaster,Cercopithèque à ventre roux,French,false
4217,Cercopithecus erythrogaster,Rotbauchmeerkatze,German,false
4217,Cercopithecus erythrogaster,赤腹長尾猴,Chinese,false
4217,Cercopithecus erythrogaster,Red-bellied Monkey,English,true
136569,Macaca munzala,Arunachal Macaque,English,true
39795,Macaca siberu,Siberut Macaque,English,true
39794,Macaca pagensis,Pagai Macaque,English,false
39794,Macaca pagensis,Pagai Island Macaque,English,true
12556,Macaca nigra,Black Crested Macaque,English,false
12556,Macaca nigra,Celebes Black Macaque,English,false
12556,Macaca nigra,Celebes Macaque,English,false
12556,Macaca nigra,Crested Black Macaque,English,false
12556,Macaca nigra,Gorontalo Macaque,English,false
12556,Macaca nigra,Sulawesi Black Macaque,English,false
12556,Macaca nigra,Sulawesi Macaque,English,false
12556,Macaca nigra,Cynopithèque Nègre,French,false
12556,Macaca nigra,Macaca Negra,Spanish; Castilian,false
12556,Macaca nigra,Macaque Des Célèbes,French,false
12556,Macaca nigra,monyet hitam,Indonesian,false
12556,Macaca nigra,Yaki,Indonesian,false
12556,Macaca nigra,Celebes Crested Macaque,English,true
12560,Macaca sinica,Hutaffe,German,false
12560,Macaca sinica,Macaca De Sri Lanka,Spanish; Castilian,false
12560,Macaca sinica,Macaque Couronné,French,false
12560,Macaca sinica,Macaque Toque,French,false
12560,Macaca sinica,rilawa,Sinhala; Sinhalese,false
